Time [s],Proposed_system,Standard
1381.0,50,130
1382.0,48,130
1383.0,49,131
1384.0,47,130
1385.0,45,130
1386.0,46,131
1387.0,45,131
1388.0,44,131
1389.0,44,132
1390.0,44,131
1391.0,44,131
1392.0,45,132
1393.0,45,132
1394.0,47,133
1395.0,45,134
1396.0,46,134
1397.0,45,135
1398.0,45,135
1399.0,47,135
1400.0,47,136
1401.0,47,136
1402.0,47,137
1403.0,49,138
1404.0,50,140
1405.0,50,140
1406.0,52,142
1407.0,52,142
1408.0,52,143
1409.0,53,144
1410.0,53,144
1411.0,53,144
1412.0,54,145
1413.0,54,144
1414.0,54,144
1415.0,55,144
1416.0,56,146
1417.0,56,145
1418.0,57,145
1419.0,55,145
1420.0,54,144
1421.0,53,145
1422.0,54,146
1423.0,53,146
1424.0,53,145
1425.0,53,146
1426.0,53,144
1427.0,54,145
1428.0,55,146
1429.0,55,146
1430.0,56,147
1431.0,59,148
1432.0,59,148
1433.0,58,149
1434.0,58,148
1435.0,58,149
1436.0,57,147
1437.0,58,146
1438.0,57,147
1439.0,55,147
1440.0,57,146
1441.0,57,147
1442.0,57,144
1443.0,58,143
1444.0,59,146
1445.0,61,144
1446.0,61,145
1447.0,60,142
1448.0,60,142
1449.0,61,142
1450.0,61,141
1451.0,62,142
1452.0,62,142
1453.0,62,141
1454.0,63,142
1455.0,64,141
1456.0,63,142
1457.0,65,143
1458.0,65,143
1459.0,65,143
1460.0,67,143
1461.0,68,144
1462.0,68,144
1463.0,70,146
1464.0,70,146
1465.0,71,147
1466.0,72,147
1467.0,73,148
1468.0,73,146
1469.0,74,148
1470.0,73,147
1471.0,73,147
1472.0,72,146
1473.0,70,146
1474.0,70,145
1475.0,70,145
1476.0,69,144
1477.0,68,144
1478.0,68,143
1479.0,67,142
1480.0,67,142
1481.0,67,142
1482.0,67,141
1483.0,67,142
1484.0,66,141
1485.0,66,140
1486.0,67,140
1487.0,67,140
1488.0,66,140
1489.0,66,139
1490.0,66,139
1491.0,64,137
1492.0,65,137
1493.0,65,137
1494.0,65,136
1495.0,66,135
1496.0,66,135
1497.0,66,135
1498.0,66,135
1499.0,67,132
1500.0,66,132
1501.0,66,133
1502.0,66,133
1503.0,65,133
1504.0,64,134
1505.0,64,133
1506.0,62,134
1507.0,63,135
1508.0,63,134
1509.0,64,134
1510.0,61,135
1511.0,61,136
1512.0,62,136
1513.0,63,138
1514.0,62,138
1515.0,61,138
1516.0,61,137
1517.0,61,137
1518.0,61,136
1519.0,62,135
1520.0,61,134
1521.0,61,134
1522.0,59,134
1523.0,60,134
1524.0,60,133
1525.0,60,134
1526.0,59,135
1527.0,59,135
1528.0,60,135
1529.0,60,136
1530.0,61,137
1531.0,61,136
1532.0,59,136
1533.0,58,136
1534.0,58,136
1535.0,59,136
1536.0,60,136
1537.0,59,138
1538.0,59,136
1539.0,59,137
1540.0,59,133
1541.0,59,134
1542.0,57,133
1543.0,55,133
1544.0,54,132
1545.0,54,131
1546.0,54,130
1547.0,56,132
1548.0,58,134
1549.0,60,134
1550.0,60,134
1551.0,59,133
1552.0,58,130
1553.0,59,130
1554.0,58,129
1555.0,58,130
1556.0,56,127
1557.0,54,126
1558.0,54,126
1559.0,55,124
1560.0,56,124
1561.0,55,125
1562.0,55,125
1563.0,54,124
1564.0,54,126
1565.0,55,126
1566.0,55,126
1567.0,53,127
1568.0,53,127
1569.0,53,127
1570.0,53,129
1571.0,52,129
1572.0,54,131
1573.0,55,134
1574.0,55,135
1575.0,56,135
1576.0,57,136
1577.0,59,137
1578.0,59,138
1579.0,60,138
1580.0,59,138
1581.0,59,138
1582.0,58,138
1583.0,58,137
1584.0,58,136
1585.0,58,136
1586.0,59,136
1587.0,58,136
1588.0,57,136
1589.0,58,137
1590.0,58,137
1591.0,58,137
1592.0,59,138
1593.0,59,138
1594.0,59,138
1595.0,60,138
1596.0,62,140
1597.0,62,139
1598.0,64,140
1599.0,65,139
1600.0,66,140
1601.0,67,138
1602.0,68,138
1603.0,68,136
1604.0,68,136
1605.0,70,138
1606.0,70,137
1607.0,71,137
1608.0,72,136
1609.0,72,136
1610.0,73,135
1611.0,74,136
1612.0,74,136
1613.0,73,137
1614.0,73,135
1615.0,74,135
1616.0,73,135
1617.0,73,135
1618.0,73,133
1619.0,71,133
1620.0,71,133
1621.0,71,133
1622.0,69,133
1623.0,68,132
1624.0,67,132
1625.0,67,132
1626.0,66,131
1627.0,65,131
1628.0,65,131
1629.0,65,130
1630.0,62,128
1631.0,60,127
1632.0,60,127
1633.0,60,127
1634.0,58,126
1635.0,58,127
1636.0,55,127
1637.0,54,126
1638.0,52,128
1639.0,51,127
1640.0,50,127
1641.0,51,129
1642.0,51,127
1643.0,48,124
1644.0,50,128
1645.0,50,128
1646.0,50,127
1647.0,51,127
1648.0,50,128
1649.0,50,128
1650.0,50,130
1651.0,50,130
1652.0,48,131
1653.0,48,131
1654.0,46,132
